State,Year,Month,Unemployment Rate,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Los Angeles County,2020,12,11,0,0,0,0,0,0,0,0
Los Angeles County,2021,01,10.8,0,0,0,0,0,0,0,0
Los Angeles County,2021,02,10.7,0,0,0,0,0,0,0,0
Los Angeles County,2021,03,10.5,0,0,0,0,0,0,0,0
Los Angeles County,2021,04,10.3,0,0,0,0,0,0,0,0
Los Angeles County,2021,05,9.8,0,0,0,0,0,0,0,0
Los Angeles County,2021,06,9.6,0,0,0,0,0,0,0,0
Los Angeles County,2021,07,8.9,0,0,0,0,0,0,0,0
Los Angeles County,2021,08,8.5,0,0,0,0,0,0,0,0
Los Angeles County,2021,09,7.8,0,0,0,0,0,0,0,0
Los Angeles County,2021,10,7.4,0,0,0,0,0,0,0,0
Los Angeles County,2021,11,6.9,0,0,0,0,0,0,0,0
Los Angeles County,2021,12,6.6,0,0,0,0,0,0,0,0
Los Angeles County,2022,01,6.3,0,0,0,0,0,0,0,0
Los Angeles County,2022,02,5.8,0,0,0,0,0,0,0,0
Los Angeles County,2022,03,5.3,0,0,0,0,0,0,0,0
Los Angeles County,2022,04,5,0,0,0,0,0,0,0,0
Los Angeles County,2022,05,4.8,0,0,0,0,0,0,0,0
Los Angeles County,2022,06,4.6,0,0,0,0,0,0,0,0
Los Angeles County,2022,07,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2022,08,4.2,0,0,0,0,0,0,0,0
Los Angeles County,2022,09,4.5,0,0,0,0,0,0,0,0
Los Angeles County,2022,10,4.7,0,0,0,0,0,0,0,0
Los Angeles County,2022,11,4.9,0,0,0,0,0,0,0,0
Los Angeles County,2022,12,4.9,0,0,0,0,0,0,0,0
Louisiana,2019,01,4.7,0,0,0,0,0,0,0,0
Louisiana,2019,02,4.6,0,0,0,0,0,0,0,0
Louisiana,2019,03,4.5,0,0,0,0,0,0,0,0
Louisiana,2019,04,4.4,0,0,0,0,0,0,0,0
Louisiana,2019,05,4.4,0,0,0,0,0,0,0,0
Louisiana,2019,06,4.4,0,0,0,0,0,0,0,0
Louisiana,2019,07,4.6,0,0,0,0,0,0,0,0
Louisiana,2019,08,4.7,0,0,0,0,0,0,0,0
Louisiana,2019,09,4.8,0,0,0,0,0,0,0,0
Louisiana,2019,10,4.8,0,0,0,0,0,0,0,0
Louisiana,2019,11,4.8,0,0,0,0,0,0,0,0
Louisiana,2019,12,4.8,0,0,0,0,0,0,0,0
Louisiana,2020,01,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
Louisiana,2020,02,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310344827586207
Louisiana,2020,03,6.7,1.4838709677419355,1.096774193548387,1.4193548387096775,1.8064516129032258,0.4838709677419355,0.5806451612903226,0.5161290322580645,3.0
Louisiana,2020,04,13.5,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0
Louisiana,2020,05,12.3,3.0,2.0,2.0,4.0,1.0,1.4516129032258065,1.0,3.0
Louisiana,2020,06,11,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0
Louisiana,2020,07,10.4,3.0,2.0,2.0,3.5483870967741935,1.0,1.0,1.0,3.0
Louisiana,2020,08,9.2,2.7419354838709675,2.0,2.0,3.0,1.0,1.0,1.0,3.0
Louisiana,2020,09,8.7,2.0,2.0,1.3333333333333333,3.0,1.0,1.0,1.0,3.0
Louisiana,2020,10,8,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0
Louisiana,2020,11,7.6,2.0,1.1666666666666667,1.0,3.0,1.0,1.0,1.0,3.0
Louisiana,2020,12,7.4,2.0,1.032258064516129,1.0,3.0,1.0,1.0,1.0,3.0
Louisiana,2021,01,7,2.0,2.0,1.6774193548387097,3.774193548387097,1.0,1.0,1.0,3.0
Louisiana,2021,02,6.8,2.0,2.0,1.0,4.0,1.0,1.1785714285714286,1.0,3.0
Louisiana,2021,03,6.6,2.0,2.0,1.0,3.3548387096774195,1.0,1.0,1.0,3.0
Louisiana,2021,04,6.4,2.0,2.0,1.0,2.033333333333333,1.0,1.0,1.0,3.0
Louisiana,2021,05,6.1,2.0,2.0,1.4193548387096775,2.0,1.0,1.0,1.0,3.0
Louisiana,2021,06,5.9,1.7333333333333334,1.7666666666666666,1.2333333333333334,2.0,0.7666666666666667,1.0,1.0,3.0
Louisiana,2021,07,5.5,1.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0
Louisiana,2021,08,5.2,1.0,1.5161290322580645,2.0,2.0,0.03225806451612903,1.0,1.0,3.0
Louisiana,2021,09,4.8,1.3666666666666667,2.0,2.0,2.0,1.0,1.0,1.0,3.0
Louisiana,2021,10,4.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0
Louisiana,2021,11,4.3,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.7333333333333334
Louisiana,2021,12,4.1,1.7096774193548387,2.0,1.7096774193548387,2.0,0.7419354838709677,1.0,0.7096774193548387,2.935483870967742
Louisiana,2022,01,4,1.0,1.064516129032258,1.0,0.12903225806451613,0.0,1.0,0.0,1.0
Louisiana,2022,02,3.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Louisiana,2022,03,3.7,0.41935483870967744,0.06451612903225806,0.06451612903225806,0.0,0.0,1.0,0.0,1.0
Louisiana,2022,04,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Louisiana,2022,05,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Louisiana,2022,06,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Louisiana,2022,07,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.4838709677419355,1.0
Louisiana,2022,08,3.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Louisiana,2022,09,3.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
